Band,Art (Festival/Konzert),Festival,Wo,Wann
(Black Sabbath),,,,
Sido,,Das Fest,Karlsruhe,24.07.2017
A day to remember,,,,
All that Remains,,,,
Alligatoah,,Rock im Park,Nürnberg,03.06.2016
Alligatoah,,,,
Alligatoah,,,,
Alligatoah,,,,
Amon Amarth,,,,
Amon Amarth,,Rock im Park,Nürnberg,09.06.2013
Amy MacDonald,,Das Fest,Karlsruhe,24.07.2017
AnnenMayKantereit,,Happiness Festival,Straubenhardt,07.2016
Architects,,,,
August Burns Red,,,,
Avenged Sevenfold,,,,
Bad religion,,,,
Bakkushan,,,,
Bakkushan,,,,
Bastille,,,,
Beatsteaks,,,,
Beatsteaks,,Rock im Park,Nürnberg,05.06.2015
Beatsteaks,,,,
Billy Talent,,Southside,Neuhausen ob Eck,22.06.2018
Billy Talent,,Rock im Park,Nürnberg,03.06.2016
Blink-182,,,,
Bonaparte,,,,
Bonaparte,,,,
Bosse,,,,
Broilers,,,,
Broilers,,Rock im Park,Nürnberg,09.06.2013
Bullet for my Valentine,,Rock im Park,Nürnberg,09.06.2013
Claire,,,,
Clutch,,,,
Coldplay,,,,
Cro,,,,
Deadmau5,,,,
Deftones,,,,
Deichkind,,,,
Dendemann,,,,
Die Apokalyptischen Reiter,,,,
Die Ärzte,,,,
Die Fantastischen Vier,,,,
Die Toten Hosen,,Rock im Park,Nürnberg,06.06.2015
Die Toten Hosen,,Rock im Park,Nürnberg,02.06.2017
Die Toten Hosen,,Southside,Neuhausen ob Eck,21.06.2019
Disco Ensemble,,,,
Disturbed,,,,
Disturbed,,,,
Django 3000,,,,
Donots,,Happiness Festival,Straubenhardt,07.2016
Donots,,Southside,Neuhausen ob Eck,22.06.2018
Ensiferum,,,,
Equilibrium,,,,
Fall out Boy,,,,
Falling in Reverse,,,,
Feine Sahne Fischfilet,,Happiness Festival,Straubenhardt,07.2019
Feine Sahne Fischfilet,,Rock im Park,Nürnberg,02.06.2017
Feine Sahne Fischfilet,,Southside,Neuhausen ob Eck,22.06.2018
Fettes Brot,,,,
Fettes Brot,,Rock im Park,Nürnberg,03.06.2016
Feuerschwanz,,,,
Fiddler`s Green,,,,
Foo Fighters,,Rock im Park,Nürnberg,05.06.2015
,,Southside,Neuhausen ob Eck,21.06.2019
Franz Ferdinand,,,,
Frittenbude,,Happiness Festival,Straubenhardt,07.2013
Frittenbude,,,,
Gentleman,,,,
Ghost,,,,
Grailknights,,,,
Green Day,,Rock im Park,Nürnberg,08.06.2013
Heaven shall Burn,,,,
Heisskalt,,,,
Henning Wehland,,,,
In Flames,,,,
Irie Révoltés,,Happiness Festival,Straubenhardt,07.2016
Irie Révoltés,,Happiness Festival,Straubenhardt,07.2017
Iron Maiden,,,,
J.B.O.,,,,
Jan Delay & Disco No. 1 (2x),,,,
Jennifer Rostock,,,,
Johnossi,,Rock im Park,Nürnberg,03.06.2016
Justice,,,,
Justice,,,,
K.I.Z,,,,
Kraftklub,,,,
Kraftklub,,Openin Festival,Mannheim,29.03.2014
Kraftklub,,Happiness Festival,Straubenhardt,07.2017
Kraftklub,,Rock im Park,Nürnberg,06.06.2015
Kraftklub,,Southside,Neuhausen ob Eck,22.06.2018
Kraftklub,,,,
La brass Banda,,,,
La brass Banda,,,,
Liedfett,,,,
Liedfett,,,,
Liedfett,,,,
